rownames,user_id,permission_id
1,140,15
2,140,6
3,140,12
4,140,21
5,140,10
6,140,11
7,140,19
8,140,7
9,140,8
10,140,9
11,140,26
12,188,13
13,187,13
14,189,13
15,185,15
16,185,2
17,185,3
18,185,4
19,185,5
20,185,6
21,185,12
22,185,13
23,185,21
24,185,1
25,138,15
26,70,14
27,185,20
28,185,10
29,185,11
30,185,19
31,185,7
32,185,8
33,185,9
34,140,16
35,185,26
36,186,13
37,185,16
38,152,15
39,138,13
40,138,7
41,152,11
42,152,7
43,130,15
44,178,15
45,178,11
46,3,15
47,3,12
48,130,12
49,3,13
50,3,11
51,3,7
52,130,13
53,3,8
54,3,16
55,178,7
56,20,15
57,20,12
58,20,13
59,20,11
60,20,7
61,20,16
62,89,15
63,89,13
64,89,7
65,198,15
66,198,12
67,198,10
68,198,11
69,198,7
70,198,8
71,198,26
72,198,16
73,88,15
74,88,12
75,88,13
76,88,11
77,56,15
78,56,12
79,56,11
80,56,7
81,2,15
82,2,11
83,2,7
84,195,13
85,88,7
86,130,1
87,130,11
88,130,7
89,29,15
90,29,2
91,29,12
92,29,13
93,29,11
94,29,7
95,29,8
96,29,9
97,29,16
98,80,15
99,80,2
100,80,7
101,130,8
102,130,9
103,130,16
104,159,7
105,70,12
106,72,7
107,63,15
108,103,7
109,82,15
110,7,15
111,7,12
112,7,13
113,7,11
114,7,7
115,157,7
116,155,15
117,39,15
118,104,14
119,155,7
120,154,15
121,154,13
122,62,15
123,62,12
124,62,13
125,62,11
126,62,7
127,181,15
128,181,7
129,181,16
130,121,15
131,121,13
132,121,7
133,73,13
134,83,13
135,92,13
136,95,13
137,39,13
138,179,15
139,179,11
140,179,7
141,38,15
142,38,12
143,38,13
144,38,11
145,38,7
146,153,15
147,153,12
148,153,13
149,153,11
150,153,7
151,166,15
152,25,15
153,25,13
154,25,11
155,25,7
156,98,6
157,113,15
158,113,12
159,113,13
160,94,13
161,100,13
162,101,12
163,101,13
164,102,12
165,102,13
166,117,15
167,117,13
168,117,7
169,119,13
170,120,15
171,120,12
172,120,13
173,120,7
174,123,15
175,123,13
176,123,7
177,127,13
178,129,13
179,131,15
180,131,13
181,131,7
182,133,13
183,146,15
184,146,13
185,147,13
186,66,15
187,66,12
188,66,13
189,66,11
190,66,7
191,69,12
192,69,13
193,69,7
194,71,12
195,71,13
196,8,15
197,8,12
198,8,13
199,8,11
200,8,7
201,31,15
202,31,12
203,31,13
204,31,11
205,31,7
206,61,15
207,61,12
208,61,11
209,61,7
210,54,15
211,54,12
212,54,13
213,54,11
214,54,7
215,90,13
216,97,15
217,97,7
218,97,8
219,97,9
220,87,15
221,87,13
222,68,15
223,68,2
224,68,12
225,68,11
226,68,7
227,109,15
228,109,7
229,58,14
230,58,15
231,58,2
232,58,12
233,58,11
234,58,7
235,58,8
236,58,9
237,58,16
238,82,13
239,111,15
240,111,2
241,111,7
242,86,15
243,86,12
244,86,13
245,86,11
246,86,7
247,34,15
248,34,12
249,34,13
250,34,11
251,34,7
252,115,14
253,115,15
254,115,12
255,115,20
256,115,7
257,115,16
258,78,15
259,78,13
260,78,7
261,118,13
262,122,15
263,122,13
264,122,7
265,132,15
266,132,13
267,143,15
268,143,13
269,134,13
270,91,13
271,126,15
272,126,11
273,126,7
274,126,16
275,144,13
276,137,13
277,99,15
278,99,13
279,99,11
280,99,7
281,51,15
282,51,12
283,51,13
284,51,11
285,51,7
286,135,15
287,135,13
288,135,7
289,145,13
290,145,7
291,16,15
292,16,12
293,16,13
294,16,11
295,16,7
296,16,16
297,22,15
298,22,12
299,22,13
300,22,11
301,22,7
302,36,15
303,36,13
304,36,11
305,36,7
306,12,15
307,12,12
308,12,13
309,12,11
310,12,7
311,4,15
312,4,12
313,4,13
314,4,11
315,4,7
316,79,15
317,79,12
318,79,13
319,79,7
320,17,15
321,17,12
322,17,13
323,17,11
324,17,7
325,104,15
326,104,12
327,104,11
328,104,7
329,104,8
330,104,16
331,139,13
332,1,15
333,1,12
334,1,13
335,1,11
336,1,7
337,47,15
338,47,12
339,47,13
340,47,11
341,47,7
342,47,8
343,47,9
344,47,26
345,47,16
346,93,15
347,93,13
348,93,7
349,156,7
350,171,15
351,171,13
352,171,7
353,171,16
354,114,12
355,114,13
356,169,15
357,169,13
358,169,10
359,169,11
360,169,7
361,169,8
362,169,16
363,158,15
364,158,7
365,18,15
366,18,11
367,18,7
368,18,16
369,172,15
370,172,7
371,172,16
372,39,11
373,39,7
374,49,15
375,49,11
376,49,7
377,174,15
378,174,7
379,174,16
380,40,15
381,40,2
382,40,12
383,40,13
384,40,11
385,40,7
386,40,8
387,40,16
388,63,12
389,63,11
390,63,7
